taxonkey	decimallongitude	decimallatitude	countrycode	basis	source
2761352	-85.52	9.92	CRI	H	GBIF
3061115	-83.44	8.73	CRI	H	GBIF
2885232	-85.33	10.77	CRI	H	GBIF
3061115	-83.05	9.43	CRI	H	GBIF
2761352	-85.65	10.79	CRI	H	GBIF
2761352	-85.28	10.36	CRI	H	GBIF
2885232	-83.21	8.69	CRI	H	GBIF
2761352	-85.61	10.83	CRI	H	GBIF
2885232	-85.36	9.84	CRI	H	GBIF
3061115	-83.21	8.68	CRI	H	GBIF
2761352	-85.62	10.83	CRI	H	GBIF
2761352	-85.38	9.86	CRI	H	GBIF
2761352	-85.33	10.35	CRI	H	GBIF
2761352	-85.36	10.44	CRI	H	GBIF
2761352	-85.42	10.99	CRI	H	GBIF
2761352	-85.37	10.17	CRI	H	GBIF
2885232	-85.34	10.75	CRI	H	GBIF
3061115	-83.25	8.76	CRI	H	GBIF
2885232	-85.73	10.92	CRI	H	GBIF
2885232	-84.83	10.26	CRI	H	GBIF
2761352	-85.76	10.92	CRI	H	GBIF
2885232	-84.23	9.93	CRI	H	GBIF
2885232	-84.27	9.9	CRI	H	GBIF
2761352	-85.73	10.89	CRI	H	GBIF
2885232	-89.82	18.27	MEX	H	GBIF
2885232	-84.31	10.87	CRI	H	GBIF
2761352	-84.7	9.86	CRI	H	GBIF
2761352	-84.07	10.33	CRI	H	GBIF
3061115	-84.56	9.77	CRI	H	GBIF
3061115	-83.37	9.99	CRI	H	GBIF
3061115	-83.21	8.68	CRI	H	GBIF
3061115	-84.23	9.71	CRI	H	GBIF
2761352	-84.54	9.92	CRI	H	GBIF
2885232	-89.39	18.73	MEX	H	GBIF
3061115	-84.6	9.78	CRI	H	GBIF
3061115	-83.2	8.67	CRI	H	GBIF
4073924	-84.01	10.43	CRI	H	GBIF
4073924	-83.81	10.18	CRI	H	GBIF
5549055	-83.16	8.63	CRI	H	GBIF
5549055	-83.58	8.69	CRI	H	GBIF
5549055	-84.73	10.31	CRI	H	GBIF
5549055	-84.73	10.32	CRI	H	GBIF
5549055	-83.37	8.77	CRI	H	GBIF
5549055	-83.51	8.55	CRI	H	GBIF
