key	publishingOrganizationKey	doi	type	title	createdby	created	modified	
3c089a4c-c5af-4fa0-b46f-1885036b82f4	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/txdsw3	OCCURRENCE	Flora de las playas y dunas costeras de México		2016-12-17T07:22:04.175+0000	2017-03-11T01:01:54.601+0000	
850e5d36-21b7-4eae-84b2-3dc93db6a153	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/fgt1nt	OCCURRENCE	Actualización de las bases de datos del Herbario XAL. Fase III		2016-12-17T05:55:06.295+0000	2017-03-11T01:10:46.415+0000	
80931f9e-f762-11e1-a439-00145eb45e9a	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/1g1b1o	OCCURRENCE	Base de datos de las gramíneas (Poaceae) del noreste de México		2011-07-12T11:56:08.000+0000	2017-03-11T01:10:48.758+0000	
cd2f99e0-9b66-44b5-8cd8-4f5dc58c2a54	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/r0ecax	OCCURRENCE	Base de datos computarizada del herbario CIB, Instituto de Investigaciones Biológicas, Universidad Veracruzana		2016-12-17T07:03:44.910+0000	2017-03-11T01:08:23.115+0000	
15f819bd-6612-4447-854b-14d12ee1022d	396d5f30-dea9-11db-8ab4-b8a03c50a862	doi:10.15468/ib5ypt	OCCURRENCE	Naturalis Biodiversity Center (NL) - Botany		2015-09-16T15:02:07.995+0000	2018-01-31T09:39:49.709+0000	
79684ec1-01e8-46cc-83cb-cd5bdfb469fe	eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	doi:10.15472/v2lnzj	OCCURRENCE	ICN - Universidad Nacional de Colombia		2016-09-23T14:58:12.316+0000	2017-03-09T16:12:10.339+0000	
e1f3be55-9f45-474c-8374-502b236e0ad0	898ba450-1627-11df-bd84-b8a03c50a862	doi:10.15468/dnne4z	SAMPLING_EVENT	Alien plant presence dataset from the point-radius plot surveys in 2010-2015 in Taiwan		2016-09-06T08:13:01.932+0000	2017-11-29T08:32:12.334+0000	
9168f50d-350e-4af1-ba97-17274f1faeaf	845f3630-812c-11de-86fe-b8a03c50a862	doi:10.15468/sclgzd	OCCURRENCE	MPM Milwaukee Public Museum Herbarium		2016-09-06T23:46:30.057+0000	2017-07-25T13:43:12.809+0000	
52ffdb54-a3e9-4e83-9d30-ff81659873f9	698acf43-05cd-4b45-8107-7c666d87f77c	doi:10.15472/v16okr	OCCURRENCE	Registros biológicos de especies de plantas del Bosque Seco en Colombia presentes en el Herbario JBGP		2016-06-23T14:04:20.767+0000	2017-02-09T20:53:46.022+0000	
56e9c560-bd2a-11dd-b15e-b8a03c50a862	38a69420-bd2a-11dd-b15e-b8a03c50a862	doi:10.15468/xxoo68	OCCURRENCE	LSU Shirley C. Tucker Herbarium at Louisiana State University - Vascular Plants		2010-05-03T22:02:18.000+0000	2017-05-31T18:00:13.044+0000	
b5cdf794-8fa4-4a85-8b26-755d087bf531	2cd829bb-b713-433d-99cf-64bef11e5b3e	doi:10.15468/nc6rxy	OCCURRENCE	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)		2011-11-10T16:01:25.000+0000	2018-02-02T05:21:49.621+0000	
7bd65a7a-f762-11e1-a439-00145eb45e9a	90fd6680-349f-11d8-aa2d-b8a03c50a862	doi:10.15468/hja69f	OCCURRENCE	Tropicos Specimen Data		2007-04-02T22:00:00.000+0000	2016-08-18T12:32:37.996+0000	
3717f916-d983-4a81-bb13-5f91200871a6	5c7a5c20-1bd0-11d8-a2da-b8a03c50a862	doi:10.15468/tgno8a	OCCURRENCE	Plantae of Costa Rica (INBio)		2016-03-14T18:38:08.301+0000	2016-08-30T13:43:31.416+0000	
7f5260c2-f762-11e1-a439-00145eb45e9a	4e11d750-bafb-11d9-8e53-b8a03c50a862	doi:10.15468/5sl7sh	OCCURRENCE	Natural History Museum, Vienna - Herbarium W		2007-03-27T22:00:00.000+0000	2016-08-18T12:32:37.996+0000	
75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	doi:10.15468/omae84	OCCURRENCE	INPN - Données flore des CBN agrégées par la FCBN		2015-07-17T14:10:19.862+0000	2017-11-07T23:31:04.644+0000	
d415c253-4d61-4459-9d25-4015b9084fb0	ae447c50-b8a8-11d8-92a4-b8a03c50a862	doi:10.15468/6e8nje	OCCURRENCE	The New York Botanical Garden Herbarium (NY)		2015-06-18T17:37:36.748+0000	2017-12-20T13:22:55.815+0000	
0943f690-fde5-11dd-83f4-b8a03c50a862	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	doi:10.15468/yo3mmu	OCCURRENCE	Phanerogamic Botanical Collections (S)		2010-05-03T22:02:18.000+0000	2017-12-11T14:11:34.786+0000	
df582950-3b58-11dc-8c19-b8a03c50a862	6b2f029b-7823-4b84-9c30-31ff364238fe	doi:10.15468/x5ucvh	OCCURRENCE	Allan Herbarium (CHR)		2010-05-03T22:02:18.000+0000	2018-01-29T22:18:03.336+0000	
b929f23d-290f-4e85-8f17-764c55b3b284	90cc71b0-055b-11d8-b84e-b8a03c50a862	doi:10.15468/s6ctus	OCCURRENCE	Bernice P. Bishop Museum		2012-10-23T15:55:28.000+0000	2017-05-31T18:42:09.318+0000	
f8dca385-db58-4887-97e2-690fcfbdf83d	dec5e6c9-0156-4fa0-b01c-e642dbff48fc	doi:10.15472/4ky4ru	OCCURRENCE	Herbario Virtual Bosques Secos de Colombia - Sección Herbario Universidad de Córdoba (HUC)		2015-05-15T16:00:18.471+0000	2017-03-09T16:14:50.573+0000	
96c33790-a2b5-11de-9f79-b8a03c50a862	7050ce20-c75e-11dd-87ef-b8a03c50a862	doi:10.15468/h1txwb	OCCURRENCE	Database of Native Plants in Taiwan		2010-05-03T22:02:18.000+0000	2017-11-29T08:32:07.405+0000	
1b412457-43cf-4a6f-b5c2-7acf01be5977	a2fa5b68-3ebf-4845-abc5-f456d251386f	doi:10.15468/kvfygp	OCCURRENCE	Plant Specimen in Yunnan, China from Herbarium (PE),Institute of Botany, Chinese Academy of Sciences		2014-06-15T14:36:17.962+0000	2016-08-18T12:32:37.996+0000	
cd6e21c8-9e8a-493a-8a76-fbf7862069e5	061b4f20-f241-11da-a328-b8a03c50a862	doi:10.15468/ly60bx	OCCURRENCE	Royal Botanic Gardens, Kew - Herbarium Specimens		2014-04-09T09:17:37.260+0000	2017-12-30T21:52:34.799+0000	
b4a37621-7556-4705-9349-ede261feebe4	610414e0-8040-11d9-8294-b8a03c50a862	doi:10.15468/i9bj5r	OCCURRENCE	Colección de Herbario		2011-10-13T16:04:15.000+0000	2016-08-18T12:32:51.884+0000	
29d56be4-2b76-4a05-887d-633a3c6a9a83	7050ce20-c75e-11dd-87ef-b8a03c50a862	doi:10.15468/sdyzw5	OCCURRENCE	The digitization of plant specimens of NTU		2014-03-11T06:09:22.997+0000	2017-11-29T08:32:21.380+0000	
1fe5d5cd-0336-4664-b768-d38acf349c0a	2a7e3080-28a9-11dd-97cd-b8a03c50a862	doi:10.15472/ighftu	OCCURRENCE	Colección Herbario Federico Medem Bogotá - FMB		2012-08-23T17:16:44.000+0000	2017-12-15T05:18:12.538+0000	
5325ba61-44e7-4d92-ac11-868b3294b3bb	9bcba4e4-a10d-4484-9c5e-36a059a0c9cd	doi:10.15468/k3m1qc	OCCURRENCE	H.A. Stephens Herbarium		2012-12-04T21:08:28.000+0000	2017-05-31T18:43:05.094+0000	
03f255d0-9870-4357-be22-09613bc36dbf	4bce8f23-20a5-48a7-b25a-83700caad2db	doi:10.15468/0lfcom	OCCURRENCE	Guadeloupe_Herbier		2012-06-26T14:49:40.000+0000	2017-11-07T23:23:00.918+0000	
