id|old_id|taxon_id|metadata_id|field_collected_data|data_public_access|filename|username|source|provider_institute_id|provider_name|institute_id|institute_name|is_expert|collection|source_url|botrecat|availability|image|final_image|unique_number|barcode|vno_1|vno_2|voucher_id|x1_family|x1_genus|x1_sp1|x1_author1|x1_rank1|x1_sp2|x1_author2|x1_rank2|x1_sp3|x1_author3|x1_detby|x1_detdate|x1_detdd|x1_detmm|x1_detyy|x1_detstat|x2_family|x2_genus|x2_sp1|x2_author1|x2_rank1|x2_sp2|x2_author2|x2_rank2|x2_sp3|x2_author3|x2_detby|x2_detdate|x2_detdd|x2_detmm|x2_detyy|x2_detstat|x3_family|x3_genus|x3_sp1|x3_author1|x3_rank1|x3_sp2|x3_author2|x3_rank2|x3_sp3|x3_author3|x3_detby|x3_detdate|x3_detdd|x3_detmm|x3_detyy|x3_detstat|is_hybrid|hybrid_memo|tnrs_overall_score|tnrs_source|tnrs_x1_family|tnrs_final_taxon|tnrs_author1|taxon_final|f_x1_genus|f_x1_sp1|f_x1_rank1|f_x1_sp2|f_x1_rank2|f_x1_sp3|annotated_specimen|type|type_memo|collector|addcoll|collnumber|prefix|number|suffix|colldate|colldd|collmm|collyy|final_country|country|iso|final_iso2|adm1|adm2|adm3|adm4|local_area|locality|coord|lat_deg|lat_min|lat_sec|ns|final_ns|latitude|long_deg|long_min|long_sec|ew|final_ew|longitude|llorig|lldatum|georef_history_id|latitude_georef|longitude_georef|distance_georef|georef_flag|alt|final_alt|alt_max|final_alt_max|cult_stat|final_cult_stat|origin_stat|final_origin_stat|soil|slope|aspect|habitat_txt|plant_desc|frequency|fl_code|fr_code|inflo_graminea|vernacular|language|uses|dups|notes|comments|timestamp|coord_check_old|citation|final_lat|final_lon|coord_source|taxstand_family|taxstand_genus|taxstand_sp1|taxstand_sp2|taxstand_author1|taxstand_final_taxon|temp_id|grin_final_taxon|x1_taxon|gbif_genus|gbif_species|collection_code|gbif_references|datasetKey|gbif_rank|origin_stat_inv|iso2|taxon_source|f_x1_family|quality_row|visibility
"1"|"1"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-8.589"||||||"29.9716"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"1158.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-8.589"|"29.9716"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"2"|"2"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-8.666"||||||"29.75"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"320.00000"|||||||"native"|||||||||||||||"Point in the water. Point in the country centroid. original: Point in the water. georef: Point in the country centroid"|"2016-04-15 21:41:31"||"ABCIC,2015"||||"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"3"|"3"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-10.12"||||||"31.2"||||"-13.133897"|"27.849332"|"1675.8"|"0"|""|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-10.12"|"31.2"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"4"|"4"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-11.166"||||||"29.533"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"1198.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-11.166"|"29.533"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"5"|"5"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-11.25"||||||"29.516"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"1200.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-11.25"|"29.516"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"6"|"6"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-9.466"||||||"28.816"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"960.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-9.466"|"28.816"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"7"|"7"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-9.416"||||||"28.733"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"960.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-9.416"|"28.733"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"8"|"8"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-8.6"||||||"30.00166"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"1110.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-8.6"|"30.00166"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"9"|"9"|||"0"|"1"|"raw_ABCIC_ff"|"ckhoury"|"H"|"Bioversity"||||"1"|||"voucher"||||||||||"Oryza"|"brachyantha"||||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25558356"|"Poaceae"|"Oryza_brachyantha"|"A. Chev. & Roehr."|"Oryza_brachyantha"|"Oryza"|"brachyantha"||||||||||||||||||"Zambia"|"Zambia"||"ZM"|||||||||||||"-8.95"||||||"31.366"||||"-13.133897"|"27.849332"|"1675.8"|"0"|"1700.00000"|||||||"native"||||||||||||||||"2016-04-15 21:41:31"||"ABCIC,2015"|"-8.95"|"31.366"|"original"|"Poaceae"|"Oryza"|"brachyantha"|""|"A.Chev. & Roehr."|"Oryza_brachyantha"||"Oryza_brachyantha"||||||||"Native"||"grin"|"Poaceae"|"0.4782608695652174"|"1"
"109180"|"45062"|||"0"|"1"|"raw_AVH_all_ff.xlsx"|"ckhoury"|"H"|"AVH"||"MEL"|||||||||||"2332414A"|||""|"Phaseolus"|"vulgaris"||""|""|||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/13031753"|"Fabaceae"|"Phaseolus_vulgaris"|"L."|"Phaseolus_vulgaris"|"Phaseolus"|"vulgaris"||||||||"Batianoff, G.N."|""|||"704318"|||"20"|"4"|"2007"|"Australia"|"Australia"||"AU"|"Queensland"|"Nearest locality not available"|||||||||||"-17.33333333"||||||"145.6666667"||||"-20.9175738"|"142.7027956"|"2683.62"|"0"|||||""|||"native"||||||||||||||||"2016-02-27 18:26:36"||"AVH,2012"|"-17.33333333"|"145.6666667"|"original"|"Leguminosae"|"Phaseolus"|"vulgaris"|""|"L."|"Phaseolus_vulgaris"||"Phaseolus_vulgaris"||||||||"Native"||"grin"|"Fabaceae"|"0.4782608695652174"|"1"
